,Names,Series_Amount,Series_Date,Series_Type
687,Infolinks,"$1,500,000","Apr  1, 2008",Series_A
690,Alfresco,"$2,500,000","Jul  1, 2005",Series_A
691,Ozmo-Devices,"$12,550,000","Mar 30, 2006",Series_A
693,DueDil,"$5,000,000","Apr 12, 2013",Series_A
695,Rapid7,"$7,000,000","Sep 17, 2008",Series_A
696,ShareThis,"$6,000,000","Jan  1, 2007",Series_A
697,Xeround,"$6,500,000","Mar 17, 2005",Series_A
698,CloudMade,"$2,400,000","Mar 17, 2008",Series_A
700,140-Proof,"$3,000,000","Jul  1, 2009",Series_A
703,Black-Sand-Technologies,"$8,199,999","Jul 30, 2007",Series_A
704,Challenge-Games,"$4,500,000","Jul 10, 2008",Series_A
706,Trellia-Networks,"$3,300,000","Jan 10, 2005",Series_A
710,BaubleBar,"$1,100,000","Nov  5, 2010",Series_A
711,Gliknik,"$2,900,000","Jan 13, 2010",Series_A
712,Appcelerator,"$4,100,000","Dec  1, 2008",Series_A
715,Beepi,"$5,000,000","Apr 15, 2014",Series_A
716,Gigaom,"$325,000","Jun  1, 2006",Series_A
719,Packlink,"$1,500,000","Apr  4, 2013",Series_A
721,Nimble-Storage,"$8,800,000","Dec 21, 2008",Series_A
722,Respiratory-Motion,"$1,500,000","Dec 21, 2011",Series_A
723,My-Docket,"$3,600,000","Mar  6, 2013",Series_A
724,Mes-Materiaux,"$1,760,000","Jul 14, 2012",Series_A
727,AppFirst,"$4,000,000","Sep  6, 2011",Series_A
729,Vizury-Interactive-Solutions,"$2,000,000","Nov 27, 2010",Series_A
730,Descomplica,"$1,500,000","Nov 19, 2012",Series_A
731,Plastic-Jungle,"$6,000,000","Jan  1, 2009",Series_A
734,Coub,"$1,000,000","Jul 18, 2013",Series_A
735,OptiMine-Software,"$1,100,000","Jan  5, 2011",Series_A
736,Causata,"$4,500,000","Oct  5, 2009",Series_A
739,Crowdtap,"$7,000,000","Jul 27, 2011",Series_A
740,Whaleback-Systems,"$3,000,000","Jul 27, 2005",Series_A
741,Segment,"$15,000,000","Oct 18, 2014",Series_A
742,DoubleVerify,"$3,500,000","May 18, 2009",Series_A
744,NextMedium,"$3,500,000","Feb  1, 2005",Series_A
747,3D-robotics,"$5,000,000","Nov  5, 2012",Series_A
748,PunchTab,"$4,400,000","Nov  8, 2011",Series_A
750,MyEdu,"$3,200,000","Jan  1, 2009",Series_A
751,Truveris,"$3,800,000","Feb  1, 2011",Series_A
752,Etaoshi,"$10,000,000","Nov 27, 2013",Series_A
755,Alcyone-Lifesciences,"$1,800,000","Mar 28, 2012",Series_A
757,Mixbook,"$800,000","Jan  1, 2008",Series_A
758,Currency-Cloud,"$4,000,000","Mar 13, 2012",Series_A
761,PrestaShop,"$3,750,000","Aug 31, 2011",Series_A
763,Gainspeed,"$23,300,000","Jan 14, 2013",Series_A
765,General-Assembly,"$4,250,000","Sep  7, 2011",Series_A
767,Bridgevine,"$3,250,000","Dec 28, 2005",Series_A
769,Geni,"$1,500,000","Jun  1, 2006",Series_A
